identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,4,66,-51,1,8,-14,55
80:6F:B0:EE:AC:E1,4,67,-51,1,8,1,-61
80:6F:B0:EE:AC:E1,4,68,-51,1,8,-4,62
80:6F:B0:EE:AC:E1,4,69,-51,1,8,-31,-45
80:6F:B0:EE:AC:E1,4,70,-51,1,8,32,39
80:6F:B0:EE:AC:E1,4,71,-51,1,8,-30,-55
80:6F:B0:EE:AC:E1,4,72,-51,1,8,35,52
80:6F:B0:EE:AC:E1,4,73,-51,1,8,-44,-52
80:6F:B0:EE:AC:E1,4,74,-51,1,8,31,29
80:6F:B0:EE:AC:E1,4,75,-51,1,8,-36,-27
80:6F:B0:EE:AC:E1,4,76,-51,1,8,34,19
80:6F:B0:EE:AC:E1,4,77,-51,1,8,-64,-21
80:6F:B0:EE:AC:E1,4,78,-51,1,8,38,23
80:6F:B0:EE:AC:E1,4,79,-51,1,8,-64,-5
80:6F:B0:EE:AC:E1,4,80,-51,1,8,47,18
80:6F:B0:EE:AC:E1,4,81,-51,1,8,-63,16
80:6F:B0:EE:AC:E1,5,0,-48,1,20,83,-63
80:6F:B0:EE:AC:E1,5,1,-48,1,20,-74,-76
80:6F:B0:EE:AC:E1,5,2,-48,1,20,-74,76
80:6F:B0:EE:AC:E1,5,3,-48,1,20,83,67
80:6F:B0:EE:AC:E1,5,4,-48,1,20,55,-88
80:6F:B0:EE:AC:E1,5,5,-48,1,20,-94,-47
80:6F:B0:EE:AC:E1,5,6,-48,1,20,-37,101
80:6F:B0:EE:AC:E1,5,7,-48,1,20,103,23
